,trial,picId,picNum,frame,rating
0,1.0,15.0,1.0,1.0,43.0
1,2.0,5.0,0.0,1.0,6.0
2,3.0,15.0,0.0,1.0,40.0
3,4.0,11.0,1.0,2.0,48.0
4,5.0,27.0,1.0,1.0,18.0
5,6.0,19.0,0.0,1.0,8.0
6,7.0,16.0,0.0,1.0,37.0
7,8.0,14.0,0.0,2.0,27.0
8,9.0,9.0,0.0,2.0,20.0
9,10.0,12.0,0.0,2.0,12.0
10,11.0,7.0,1.0,1.0,29.0
11,12.0,2.0,1.0,1.0,29.0
12,13.0,17.0,0.0,2.0,30.0
13,14.0,7.0,0.0,1.0,25.0
14,15.0,3.0,0.0,2.0,15.0
15,16.0,5.0,1.0,2.0,1.0
16,17.0,32.0,1.0,2.0,15.0
17,18.0,30.0,1.0,2.0,36.0
18,19.0,12.0,0.0,1.0,38.0
19,20.0,28.0,0.0,2.0,26.0
20,21.0,2.0,1.0,2.0,17.0
21,22.0,10.0,1.0,1.0,28.0
22,23.0,17.0,1.0,1.0,28.0
23,24.0,3.0,1.0,1.0,40.0
24,25.0,32.0,0.0,1.0,39.0
25,26.0,4.0,1.0,1.0,30.0
26,27.0,27.0,0.0,1.0,24.0
27,28.0,4.0,1.0,2.0,24.0
28,29.0,2.0,0.0,1.0,37.0
29,30.0,2.0,0.0,2.0,15.0
30,31.0,32.0,1.0,1.0,39.0
31,32.0,11.0,1.0,1.0,1.0
32,33.0,10.0,0.0,2.0,18.0
33,34.0,14.0,1.0,2.0,23.0
34,35.0,28.0,1.0,2.0,24.0
35,36.0,26.0,1.0,2.0,27.0
36,37.0,14.0,0.0,1.0,26.0
37,38.0,11.0,0.0,2.0,2.0
38,39.0,32.0,0.0,2.0,15.0
39,40.0,17.0,0.0,1.0,38.0
40,41.0,15.0,0.0,2.0,6.0
41,42.0,26.0,0.0,2.0,27.0
42,43.0,25.0,1.0,2.0,40.0
43,44.0,16.0,1.0,2.0,21.0
44,45.0,30.0,1.0,1.0,9.0
45,46.0,28.0,1.0,1.0,26.0
46,47.0,25.0,0.0,2.0,40.0
47,48.0,19.0,1.0,2.0,43.0
48,49.0,7.0,0.0,2.0,23.0
49,50.0,25.0,1.0,1.0,7.0
50,51.0,7.0,1.0,2.0,26.0
51,52.0,17.0,1.0,2.0,22.0
52,53.0,4.0,0.0,1.0,27.0
53,54.0,10.0,1.0,2.0,22.0
54,55.0,9.0,0.0,1.0,22.0
55,56.0,27.0,1.0,2.0,29.0
56,57.0,10.0,0.0,1.0,32.0
57,58.0,14.0,1.0,1.0,28.0
58,59.0,28.0,0.0,1.0,25.0
59,60.0,27.0,0.0,2.0,31.0
60,61.0,3.0,0.0,1.0,37.0
61,62.0,30.0,0.0,1.0,10.0
62,63.0,5.0,0.0,2.0,49.0
63,64.0,9.0,1.0,1.0,27.0
64,65.0,25.0,0.0,1.0,11.0
65,66.0,4.0,0.0,2.0,22.0
66,67.0,12.0,1.0,2.0,10.0
67,68.0,16.0,1.0,1.0,29.0
68,69.0,26.0,1.0,1.0,26.0
69,70.0,15.0,1.0,2.0,11.0
70,71.0,3.0,1.0,2.0,10.0
71,72.0,9.0,1.0,2.0,25.0
72,73.0,16.0,0.0,2.0,19.0
73,74.0,12.0,1.0,1.0,41.0
74,75.0,19.0,1.0,1.0,5.0
75,76.0,19.0,0.0,2.0,45.0
76,77.0,5.0,1.0,1.0,1.0
77,78.0,11.0,0.0,1.0,4.0
78,79.0,30.0,0.0,2.0,45.0
79,80.0,26.0,0.0,1.0,28.0
