trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.0,12.0,29.0,49.0,1.0,1.0,7.002335444994969,-1.0,1.9702680290065473
1.0,7.0,19.0,28.0,10.0,1.0,7.000485622003907,-1.0,1.9870076939987484
2.0,15.0,1.0,36.0,39.0,1.0,7.0003342690033605,1.0,3.2189339800097514
3.0,32.0,26.0,33.0,28.0,1.0,7.00072371600254,1.0,2.419757900002878
4.0,15.0,16.0,36.0,15.0,1.0,7.01625614099612,1.0,2.1198647579876706
5.0,8.0,30.0,7.0,11.0,1.0,7.000727977996576,-1.0,1.6366661149950232
6.0,3.0,9.0,27.0,26.0,1.0,7.001580472002388,-1.0,1.9532697550021112
7.0,9.0,27.0,26.0,37.0,1.0,7.0015535440034,1.0,1.9015172210056335
8.0,12.0,32.0,49.0,33.0,1.0,7.001941454989719,-1.0,1.50312656800088
9.0,18.0,11.0,45.0,10.0,1.0,7.001419960986823,-1.0,2.16969683500065
10.0,5.0,10.0,1.0,38.0,1.0,7.002024546993198,1.0,1.3356824310030788
11.0,7.0,27.0,28.0,37.0,1.0,7.002036265999777,1.0,1.4034837189974496
12.0,30.0,4.0,11.0,32.0,1.0,7.001976358005777,1.0,1.5019672560010804
13.0,10.0,18.0,38.0,45.0,1.0,7.001152718003141,1.0,1.4033786370127928
14.0,11.0,18.0,10.0,45.0,1.0,7.00201384400134,1.0,1.5363484249974135
15.0,29.0,11.0,1.0,10.0,1.0,7.001903570009745,1.0,1.702946218996658
16.0,4.0,28.0,32.0,40.0,1.0,7.0009875200048555,1.0,1.5845046499889577
17.0,16.0,5.0,15.0,1.0,1.0,7.001732496006298,1.0,1.5369842739892192
18.0,9.0,3.0,26.0,27.0,1.0,7.001845363003667,-1.0,1.486611725995317
19.0,27.0,9.0,37.0,26.0,1.0,7.001749196002493,-1.0,2.1208984209952177
20.0,1.0,15.0,39.0,36.0,2.0,7.009835784003371,1.0,2.6859714669990353
21.0,9.0,3.0,26.0,27.0,2.0,7.001830637993407,1.0,1.886417314002756
22.0,10.0,5.0,38.0,1.0,2.0,7.001406791998306,-1.0,2.5701961559971096
23.0,32.0,26.0,33.0,28.0,2.0,7.000978679992841,1.0,2.088072643993655
24.0,26.0,19.0,28.0,10.0,2.0,7.001970322991838,1.0,2.018158662991482
25.0,4.0,28.0,32.0,40.0,2.0,7.016215281008044,-1.0,1.635549403988989
26.0,30.0,4.0,11.0,32.0,2.0,7.0018416389939375,-1.0,1.4694326880126027
27.0,5.0,16.0,1.0,15.0,2.0,7.001975690000108,-1.0,1.7526551540067885
28.0,16.0,15.0,15.0,36.0,2.0,7.001413274003426,-1.0,2.352061142009916
29.0,30.0,8.0,11.0,7.0,2.0,7.002031165000517,1.0,2.2694790289970115
30.0,4.0,30.0,32.0,11.0,2.0,7.001171784999315,1.0,2.1191487000032794
31.0,18.0,11.0,45.0,10.0,2.0,7.002161117998185,1.0,2.03664411099453
32.0,7.0,19.0,28.0,10.0,2.0,7.001582144992426,1.0,1.5014767429966014
33.0,8.0,30.0,7.0,11.0,2.0,7.00142476799374,-1.0,1.735437159994035
34.0,8.0,1.0,7.0,39.0,2.0,7.01543137000408,-1.0,1.3193967069964856
35.0,26.0,32.0,28.0,33.0,2.0,7.001149545001681,-1.0,1.6536443070071982
36.0,29.0,11.0,1.0,10.0,2.0,7.0018338869995205,-1.0,1.7699810850026552
37.0,28.0,4.0,40.0,32.0,2.0,7.001443842003937,1.0,1.8021590689895675
38.0,15.0,1.0,36.0,39.0,2.0,7.000895778997801,-1.0,2.2029323300084798
39.0,12.0,32.0,49.0,33.0,2.0,7.001814514005673,1.0,2.1211996089987224
40.0,10.0,5.0,38.0,1.0,1.0,7.0131214300054125,-1.0,3.2695877560036024
41.0,4.0,30.0,32.0,11.0,1.0,7.002403916005278,-1.0,2.518513086004532
42.0,3.0,28.0,27.0,40.0,1.0,7.000293627992505,-1.0,3.437541755993152
43.0,5.0,16.0,1.0,15.0,1.0,7.00220128899673,1.0,1.9029662499960978
44.0,26.0,19.0,28.0,10.0,1.0,7.001323180986219,-1.0,2.753200911989552
