trial,trialOnset,leftId,rightId,ratL,ratR,frame,trialOnsetTim,trialSnd1Tim,trialSnd2Tim,trialThinkTime,trialRespTime,trialEnd,choice,choiceTime,primerSound
0.0,24.243075570999963,1.0,6.0,-1.0,-1.0,1.0,0.02013799599990307,1.0657078839999485,1.566600254999912,3.510313561999965,8.511671209000042,18.012232882000035,-1.0,11.162647244999789,1.0
1.0,42.25710392299993,2.0,5.0,-1.0,-1.0,2.0,0.05972487400003956,1.1040994530001171,1.605300156000112,3.515314248000095,6.515754115000163,14.01692188900006,-1.0,10.568690693999997,2.0
2.0,56.27583614200012,5.0,2.0,-1.0,-1.0,1.0,0.013614462000077765,1.0536819980000018,1.5552087860000938,3.515047109000079,6.5157755309999175,14.016416987999946,-1.0,8.24979732099996,1.0
3.0,70.29398112100012,5.0,6.0,-1.0,-1.0,1.0,0.014302425000096264,1.0539556730000186,1.555173251000042,3.514945551999972,7.516046888999881,16.00047930300002,-1.0,8.184396167000159,1.0
4.0,86.29897224599995,2.0,1.0,-1.0,-1.0,2.0,0.014028280000047744,1.0508542400000351,1.552141876000178,3.5119641720000345,7.512724418000062,16.014329315000168,-1.0,8.364897131999896,2.0
5.0,102.3151554210001,1.0,6.0,-1.0,-1.0,2.0,0.014028057999894372,1.05307806299993,1.5542965199999799,3.5142560619999585,7.515318083000011,16.016025449999916,1.0,8.017327045000002,2.0
6.0,118.33288603300002,1.0,5.0,-1.0,-1.0,2.0,0.013918148000129804,1.054433293000102,1.55570036600011,3.515376445000129,6.516420655000047,14.000004383000032,1.0,7.101002089999838,2.0
7.0,132.334559528,1.0,2.0,-1.0,-1.0,2.0,0.013914055999975972,1.0542913100000533,1.5555452290000176,3.5152565180001147,7.516430121999974,16.00065488700011,1.0,8.067386979000048,2.0
8.0,148.33711629000004,5.0,6.0,-1.0,-1.0,2.0,0.013974225999845657,1.0529763289998755,1.5542117069999222,3.51462292899987,8.515891084000032,18.000042985999926,1.0,9.050820447000206,2.0
9.0,166.338978237,6.0,2.0,-1.0,-1.0,1.0,0.014118470999846977,1.0544138749999092,1.5556867159998546,3.5150906750000104,6.515939899999921,14.000209541000004,-1.0,9.900959379999904,2.0
10.0,180.340968171,6.0,1.0,-1.0,-1.0,2.0,0.014242964000004577,1.0533989320001638,1.5546935930001382,3.5148607570001786,7.516156544000069,16.016676908000136,1.0,8.400179467000044,1.0
11.0,196.359348964,5.0,2.0,-1.0,-1.0,2.0,0.013219494999930248,1.0534856780000155,1.5546844149998833,3.5149396909998813,8.516278769999872,18.000646048999897,1.0,9.034060950999901,1.0
12.0,219.37662406699997,6.0,1.0,-1.0,-1.0,1.0,0.012918553999952564,1.0562809420000576,1.5575763800000004,3.5003705409999384,6.501246974999958,14.002420311999913,1.0,7.002337478999834,1.0
13.0,233.38087782699995,2.0,5.0,-1.0,-1.0,1.0,0.01385143400011657,1.0541514900000948,1.5554324879999513,3.514867939000169,6.515245953999965,14.016290292000122,1.0,7.066998611999907,1.0
14.0,247.39917616599996,5.0,1.0,-1.0,-1.0,1.0,0.013488402999882965,1.053356711999868,1.5545781779999288,3.514518730999953,8.51588285799994,18.01686562099985,-1.0,9.033859535999909,2.0
15.0,265.419413783,1.0,6.0,-1.0,-1.0,1.0,0.014319365000119433,1.0524412960000973,1.5537162660000376,3.513570350000009,7.514163149000069,16.015574398000126,-1.0,8.515135153999836,2.0
16.0,281.4370016600001,6.0,2.0,-1.0,-1.0,2.0,0.013870647999965513,1.0532166369998777,1.5544708009999795,3.5142127099998106,7.515404569999873,16.016417595999883,-1.0,8.067211969000027,2.0
17.0,297.45592675500006,2.0,6.0,-1.0,-1.0,1.0,0.013823079999838228,1.0530521739999585,1.5542667789998177,3.5139150909999444,8.515046792000021,18.01650930599999,1.0,8.983771645999923,1.0
18.0,315.4744139669999,6.0,5.0,-1.0,-1.0,2.0,0.014194777000057002,1.0530292680000457,1.554259753999986,3.5149059679999937,6.51562654899999,14.015860043999965,-1.0,7.200685511000074,1.0
19.0,329.4949986900001,1.0,2.0,-1.0,-1.0,1.0,0.014018947000067783,1.0515145220001614,1.5527240450001045,3.5122319960000823,7.513320936000127,16.014155440000195,-1.0,8.130924807999918,1.0
20.0,345.51070785499996,1.0,2.0,-1.0,-1.0,2.0,0.012708977999864146,1.0544842580000022,1.5557326670000293,3.514479577999964,7.5159254519999195,16.000393616999872,1.0,8.00117487600005,1.0
21.0,361.5130891020001,6.0,5.0,-1.0,-1.0,1.0,0.014179624000007607,1.05448165100006,1.5550693269999556,3.5145197370000005,8.516109425999957,18.000040493999904,1.0,8.984545671999967,2.0
22.0,379.5152121220001,6.0,1.0,-1.0,-1.0,2.0,0.0140504390001297,1.0542136720000599,1.5554435920000742,3.514927453000155,6.515532291999989,14.016772397000068,-1.0,7.283592724000073,2.0
23.0,393.5339640310001,2.0,1.0,-1.0,-1.0,2.0,0.013429861000076926,1.0534091290001015,1.5546992050001336,3.5144302989999687,8.515838708000047,18.01683463800009,-1.0,9.017359595000016,1.0
24.0,416.567698008,2.0,1.0,-1.0,-1.0,1.0,0.012476749000143172,1.0559698070001104,1.5572297600001548,3.500199830000156,7.501003280000077,16.00184963200013,1.0,7.968627921999996,2.0
25.0,432.57112989300003,6.0,1.0,-1.0,-1.0,1.0,0.014010967000103847,1.0538915080001061,1.5551130700000613,3.5152840119999382,8.516217000000097,18.00081668400003,1.0,9.0341748740002,2.0
26.0,450.57401831800007,2.0,5.0,-1.0,-1.0,2.0,0.013300115999982154,1.0536083469999085,1.554705702000092,3.5149952889998985,8.51567329999989,18.000522415999967,-1.0,9.00048134099984,1.0
27.0,468.57636004000005,1.0,6.0,-1.0,-1.0,2.0,0.013646785999981148,1.0533148510000956,1.5545912340000996,3.5144366100000752,7.515489336999963,16.000027389000024,1.0,8.067008282000188,1.0
28.0,484.5781040080001,2.0,6.0,-1.0,-1.0,2.0,0.013716941999973642,1.053775516000087,1.5550934510001753,3.514480358000128,7.515707303999989,16.01555491399995,-1.0,8.117881761000035,2.0
29.0,500.595741676,2.0,6.0,-1.0,-1.0,1.0,0.014127243999837447,1.0545707429998856,1.5558732599999985,3.5158220449998225,8.516701723999859,18.000808464999864,1.0,9.134851279000031,2.0
30.0,518.5983696769999,1.0,5.0,-1.0,-1.0,1.0,0.013318493000042508,1.0544022320000295,1.5557099699999526,3.5154667049998807,7.516201643999921,16.000792242999978,-1.0,8.117789340000172,2.0
31.0,534.6012191060001,6.0,5.0,-1.0,-1.0,1.0,0.01441020600009324,1.0530986060000487,1.5543674060002104,3.514114759000222,6.514283773000216,14.015831982999998,1.0,7.933612994999976,1.0
32.0,548.618705697,5.0,1.0,-1.0,-1.0,2.0,0.012852569999949992,1.0543928990000495,1.5556135929998618,3.515468834999865,6.5158348889999615,14.000083156999835,-1.0,7.183905269999968,1.0
33.0,562.6204397250001,5.0,1.0,-1.0,-1.0,2.0,0.013025672999901872,1.0549572899999475,1.5561705269999493,3.5155145259998335,7.5163078269999914,16.00071091699988,-1.0,7.984203556000011,2.0
34.0,578.623253389,5.0,2.0,-1.0,-1.0,1.0,0.014393661999974938,1.0535865909998847,1.5548172950000207,3.5143666510000457,8.515659185999993,18.016738092999958,-1.0,9.300458948999903,2.0
35.0,596.6422324310001,2.0,6.0,-1.0,-1.0,2.0,0.013980552000020907,1.0532896449999498,1.5544913199998973,3.5145308070000283,6.5149017939997975,14.015703032000147,-1.0,7.216385023000157,1.0
36.0,615.6752848829999,2.0,5.0,-1.0,-1.0,1.0,0.012870063000264054,1.0559119500003362,1.5571982010001193,3.5002613569999994,6.500890063000043,14.00162985399993,-1.0,8.03548932600006,2.0
37.0,629.678997576,6.0,2.0,-1.0,-1.0,1.0,0.013924952000252233,1.0539313950002906,1.555202145000294,3.5146607530000438,6.515550739999981,14.000090877000275,-1.0,6.983895235000091,1.0
38.0,643.6810066680002,5.0,6.0,-1.0,-1.0,2.0,0.013732789999721717,1.0537101049999364,1.5550194429997646,3.514528813999732,6.515450474999852,14.000016250000044,1.0,8.483927795999989,1.0
39.0,657.6858808889999,6.0,2.0,-1.0,-1.0,2.0,0.014399570000023232,1.0504946109999764,1.5518111710002813,3.5112842280000223,8.512497158000315,18.01379058900011,1.0,9.013494813000307,1.0
40.0,675.7013970750002,1.0,2.0,-1.0,-1.0,1.0,0.012768643000072188,1.0534423070002958,1.5546597050001765,3.5145365750004203,7.516007769000225,16.016397408000103,-1.0,8.566895368000132,2.0
