trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.0,19.0,8.0,17.0,41.0,2.0,7.50757288933,1.0,1.58031392097
1.0,10.0,16.0,31.0,46.0,1.0,7.51644611359,,
2.0,11.0,5.0,49.0,8.0,1.0,7.50256299973,,
3.0,20.0,24.0,19.0,36.0,2.0,7.50093388557,1.0,0.113674163818
4.0,21.0,25.0,49.0,32.0,1.0,7.50178194046,1.0,0.0260901451111
5.0,13.0,14.0,33.0,19.0,2.0,7.50245404243,1.0,0.529313802719
6.0,6.0,2.0,41.0,40.0,2.0,7.50264501572,-1.0,0.129976987839
7.0,4.0,19.0,27.0,17.0,1.0,7.50051212311,1.0,0.630875110626
8.0,6.0,2.0,41.0,40.0,1.0,7.5016720295,1.0,0.282405853271
9.0,5.0,11.0,8.0,49.0,2.0,7.50085306168,1.0,0.545799970627
10.0,14.0,10.0,19.0,31.0,2.0,7.50239920616,1.0,0.0758199691772
11.0,5.0,20.0,8.0,19.0,2.0,7.50279784203,1.0,0.0294029712677
12.0,27.0,7.0,29.0,30.0,2.0,7.50209784508,-1.0,0.362270116806
13.0,24.0,32.0,36.0,46.0,1.0,7.50334310532,1.0,0.31040096283
14.0,10.0,14.0,31.0,19.0,2.0,7.50114488602,1.0,0.94681096077
15.0,19.0,4.0,17.0,27.0,1.0,7.50145983696,,
16.0,18.0,21.0,46.0,49.0,1.0,7.5008649826,1.0,2.49588990211
17.0,4.0,2.0,27.0,40.0,2.0,7.50263977051,1.0,0.480854988098
18.0,24.0,20.0,36.0,19.0,2.0,7.50105595589,-1.0,0.463109016418
19.0,2.0,4.0,40.0,27.0,1.0,7.50154304504,-1.0,0.597771883011
20.0,10.0,14.0,31.0,19.0,1.0,7.50263381004,-1.0,0.276313066483
21.0,18.0,21.0,46.0,49.0,2.0,7.50226902962,-1.0,2.7171330452
22.0,18.0,27.0,46.0,29.0,1.0,7.50262498856,-1.0,2.71453905106
23.0,16.0,10.0,46.0,31.0,2.0,7.50246310234,,
24.0,27.0,7.0,29.0,30.0,1.0,7.50253605843,,
25.0,20.0,24.0,19.0,36.0,1.0,7.50201296806,,
26.0,27.0,18.0,29.0,46.0,2.0,7.50182199478,,
27.0,7.0,27.0,30.0,29.0,1.0,7.5022149086,,
28.0,12.0,25.0,22.0,32.0,2.0,7.50246119499,,
29.0,21.0,18.0,49.0,46.0,2.0,7.50172686577,,
30.0,14.0,13.0,19.0,33.0,2.0,7.50234603882,,
31.0,7.0,32.0,30.0,46.0,2.0,7.50265479088,,
32.0,8.0,13.0,41.0,33.0,1.0,7.50196886063,,
33.0,21.0,25.0,49.0,32.0,2.0,7.50253605843,,
34.0,13.0,8.0,33.0,41.0,2.0,7.50264811516,,
35.0,32.0,7.0,46.0,30.0,2.0,7.50180912018,,
36.0,19.0,4.0,17.0,27.0,2.0,7.50230193138,,
37.0,12.0,25.0,22.0,32.0,1.0,7.50244092941,,
38.0,12.0,6.0,22.0,41.0,1.0,7.50205993652,-1.0,0.0955557823181
39.0,32.0,7.0,46.0,30.0,1.0,7.50244808197,1.0,0.413995981216
40.0,8.0,19.0,41.0,17.0,2.0,7.50217795372,-1.0,0.129582166672
41.0,24.0,20.0,36.0,19.0,1.0,7.50242090225,,
42.0,32.0,24.0,46.0,36.0,2.0,7.50190091133,1.0,0.228517055511
43.0,20.0,5.0,19.0,8.0,2.0,7.50336098671,1.0,3.1302690506
44.0,8.0,19.0,41.0,17.0,1.0,7.50254297256,,
45.0,20.0,5.0,19.0,8.0,1.0,7.50107693672,1.0,0.214486837387
46.0,21.0,18.0,49.0,46.0,1.0,7.50289201736,1.0,0.375422000885
47.0,16.0,11.0,46.0,49.0,1.0,7.50250601768,1.0,0.463762998581
48.0,25.0,12.0,32.0,22.0,1.0,7.50234889984,1.0,0.329108953476
